City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Pangkalanbuun,ID,75.97,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
209,Razole,IN,73.69,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
210,Lompoc,US,60.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
211,Vila Franca Do Campo,PT,60.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
212,Vanimo,PG,82.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
213,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
214,Humaita,BR,74.08,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
216,Flinders,AU,74.48,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
217,Iracoubo,GF,76.93,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
218,Fuerte Olimpo,PY,72.66,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
220,Manakara,MG,77.76,broken clouds,-22.1333,48.0167,La Residence Manakara
222,Moron,AR,65.97,clear sky,-34.6534,-58.6198,Hotel Morón
224,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
225,Armeria,MX,70.36,scattered clouds,18.9333,-103.9667,Hotel la Herradura
230,Dunedin,NZ,63.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
234,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
239,Camapua,BR,71.94,light rain,-19.5314,-54.0439,Comercial Estrela
242,Marsh Harbour,BS,73.85,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
246,Bajil,YE,72.95,overcast clouds,15.0584,43.2851,فندق حضرموت
249,Abakaliki,NG,74.64,clear sky,6.3163,8.1169,Grande Vitesse Apartments and Hotels
250,Sambava,MG,74.34,scattered clouds,-14.2667,50.1667,Melrose
252,Saint-Paul,RE,78.89,broken clouds,-21.0096,55.2707,Boucan Canot
