,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Sfantu Gheorghe,RO,45.8667,25.7833,26.92,80,97,0.65,overcast clouds
133,Nago,JP,26.5881,127.9761,66.27,62,90,10.33,overcast clouds
134,Shubarkuduk,KZ,49.1447,56.4872,12.0,97,100,6.38,overcast clouds
135,Kharp,RU,66.8014,65.8081,-11.83,100,99,0.6,overcast clouds
136,Pangody,RU,65.85,74.4859,-18.81,100,89,6.13,overcast clouds
137,Talnakh,RU,69.4865,88.3972,-28.16,98,56,0.69,broken clouds
138,Socorro,US,31.6546,-106.3033,48.38,31,20,9.22,few clouds
139,Sinop,TR,41.7711,34.8709,28.22,83,70,12.82,broken clouds
140,Coihaique,CL,-45.5752,-72.0662,68.61,63,0,3.44,clear sky
141,Caravelas,BR,-17.7125,-39.2481,76.24,87,60,5.7,broken clouds
142,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,6.91,broken clouds
143,Nome,US,64.5011,-165.4064,-3.93,54,0,17.27,clear sky
144,Vostok,RU,46.4856,135.8833,6.49,83,99,5.86,overcast clouds
145,La Seyne-Sur-Mer,FR,43.0982,5.8847,54.93,68,19,13.0,few clouds
146,Itarema,BR,-2.9248,-39.9167,78.8,78,2,11.07,clear sky
147,Ozu,JP,33.5,132.55,46.02,49,84,7.85,broken clouds
148,Narsaq,GL,60.9167,-46.05,9.0,82,100,5.57,light snow
149,Victor Harbor,AU,-35.5667,138.6167,90.72,48,1,12.97,clear sky
150,Varhaug,NO,58.6147,5.6457,39.88,68,41,33.2,scattered clouds
151,Daru,PG,-9.0763,143.2092,85.17,71,100,3.0,overcast clouds
152,Atherton,GB,53.5237,-2.4935,40.69,87,2,1.99,clear sky
153,Bandarbeyla,SO,9.4942,50.8122,74.34,76,99,12.12,overcast clouds
154,Mahebourg,MU,-20.4081,57.7,77.29,94,75,3.44,broken clouds
155,Geraldton,AU,-28.7667,114.6,77.41,33,40,14.97,scattered clouds
156,Biak,ID,-0.9131,122.8766,83.59,65,99,1.9,overcast clouds
157,Kibala,TD,9.1104,18.3463,71.28,17,2,5.12,clear sky
158,Gat,IL,31.61,34.7642,54.39,100,6,6.8,clear sky
159,Chaohu,CN,31.6,117.8667,32.11,100,100,14.74,snow
160,Basco,PH,20.4487,121.9702,73.33,75,100,26.82,overcast clouds
161,Sulphur Springs,US,33.1385,-95.6011,40.95,56,0,0.0,clear sky
162,Okmulgee,US,35.6234,-95.9605,40.89,69,0,3.44,clear sky
163,Bethel,US,41.3712,-73.414,28.65,81,40,0.0,scattered clouds
164,Zhangye,CN,38.9342,100.4517,17.62,61,1,1.12,clear sky
165,Kununurra,AU,-15.7667,128.7333,87.78,70,100,3.44,overcast clouds
166,Coquimbo,CL,-29.9533,-71.3436,64.13,82,100,3.44,overcast clouds
167,Arkhangelsk,RU,64.5401,40.5433,10.51,85,75,8.95,broken clouds
168,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,3.44,light rain
169,Sitka,US,57.0531,-135.33,44.49,76,100,8.05,overcast clouds
170,Orito,CO,0.6766,-76.8771,70.54,97,97,2.98,overcast clouds
171,Opuwo,NA,-18.0607,13.84,68.04,46,98,1.61,overcast clouds
172,Kloulklubed,PW,7.0419,134.2556,82.36,79,43,22.39,scattered clouds
173,Bonn,DE,50.7333,7.1,39.88,88,75,5.99,broken clouds
174,Touros,BR,-5.1989,-35.4608,79.7,76,19,8.86,few clouds
175,Port Blair,IN,11.6667,92.75,78.84,83,40,9.22,scattered clouds
176,Hithadhoo,MV,-0.6,73.0833,82.42,69,31,14.14,scattered clouds
177,Cockburn Town,TC,21.4612,-71.1419,76.01,75,0,16.91,clear sky
178,Qaanaaq,GL,77.484,-69.3632,-11.67,59,29,7.25,scattered clouds
179,Najran,SA,17.4924,44.1277,50.65,59,32,3.18,scattered clouds
180,Rutul,RU,41.5357,47.4239,22.1,76,17,5.41,few clouds
181,Nikolskoye,RU,59.7035,30.7861,36.88,97,100,6.98,light snow
